iso3,country,year,magnitude,total_deaths,total_affected,total_damage_kUSD,total_damage_adj_kUSD,pre_event_avg_gdp,gdp_event_year,gdp_drop,recovery_years,gdp_per_capita_event_year,unemployment_event_year,income_group
PHL,Philippines,1990.0,6.6,1.0,34504.0,900.0,2161.0,,,,,803.572588255813,,Low
IDN,Indonesia,1990.0,7.8,5.0,7036.0,,,,,,,578.420121135382,,Low
BGR,Bulgaria,1990.0,7.0,1.0,,,,,,,,2366.52982128614,,Lower-Middle
ROU,Romania,1990.0,7.0,9.0,700.0,,,,,,,1648.48522974542,,Lower-Middle
SUN,Soviet Union,1990.0,7.0,4.0,,,,,,,,,,
PHL,Philippines,1990.0,7.1,4.0,15.0,,,,,,,803.572588255813,,Low
PER,Peru,1990.0,6.6,200.0,100800.0,1000.0,2401.0,,,,,1199.66666756615,,Lower-Middle
SUN,Soviet Union,1990.0,6.8,1.0,20000.0,,,,,,,,,
SDN,Sudan,1990.0,6.8,,8000.0,,,,,,,1257.1875,,Lower-Middle
UGA,Uganda,1990.0,,,,,,,,,,244.987168126806,,Low
IRN,Iran (Islamic Republic of),1990.0,7.3,40000.0,710000.0,8000000.0,19206670.0,,,,,2137.94222739877,,Lower-Middle
PHL,Philippines,1990.0,7.7,2412.0,1597553.0,369600.0,887348.0,,,,,803.572588255813,,Low
CHN,China,1990.0,6.2,1.0,30016.0,,,,,,,318.50335359039,,Low
CHN,China,1990.0,6.9,126.0,34319.0,58350.0,140089.0,,,,,318.50335359039,,Low
ITA,Italy,1990.0,5.4,2.0,16.0,,,,,,,20873.7834092719,,High
IRN,Iran (Islamic Republic of),1990.0,6.6,21.0,22400.0,232300.0,557714.0,,,,,2137.94222739877,,Lower-Middle
PAK,Pakistan,1990.0,6.6,11.0,250.0,,,,,,,344.45547384189,,Low
GRC,Greece,1990.0,5.5,1.0,60.0,,,,,,,9466.66238502174,,Upper-Middle
CRI,Costa Rica,1990.0,5.8,1.0,14299.0,19500.0,46816.0,,,,,1829.6687089559,,Lower-Middle
VUT,Vanuatu,1990.0,6.7,,,,,,,,,1140.59020311724,,Lower-Middle
USA,United States of America,1990.0,5.5,,30.0,12700.0,30491.0,,,,,23888.6000088133,,High
FJI,Fiji,1990.0,7.4,,,,,,,,,1728.94076871199,,Lower-Middle
PAK,Pakistan,1990.0,6.1,11.0,40.0,1000.0,2401.0,,,,,344.45547384189,,Low
VUT,Vanuatu,1990.0,7.0,,,,,,,,,1140.59020311724,,Lower-Middle
CRI,Costa Rica,1990.0,6.8,,310.0,,,,,,,1829.6687089559,,Lower-Middle
GBR,United Kingdom of Great Britain and Northern Ireland,1990.0,4.7,,,,,,,,,19095.4669984608,,High
NIC,Nicaragua,1990.0,6.4,,,,,,,,,242.508390600822,,Low
KEN,Kenya,1990.0,7.2,,,,,,,,,374.458992895562,,Low
UGA,Uganda,1990.0,6.8,,,,,,,,,244.987168126806,,Low
PNG,Papua New Guinea,1990.0,,,,,,,,,,826.317152082832,,Low
GRC,Greece,1990.0,5.1,,1.0,,,,,,,9466.66238502174,,Upper-Middle
FJI,Fiji,1990.0,6.3,,,,,,,,,1728.94076871199,,Lower-Middle
VUT,Vanuatu,1990.0,6.8,,2.0,,,,,,,1140.59020311724,,Lower-Middle
SUN,Soviet Union,1990.0,6.1,,1508.0,,,,,,,,,
ECU,Ecuador,1990.0,5.0,4.0,6510.0,,,,,,,1455.00748510871,,Lower-Middle
ITA,Italy,1990.0,4.7,19.0,2700.0,500000.0,1200417.0,,,,,20873.7834092719,,High
IDN,Indonesia,1990.0,6.0,1.0,2172.0,2100.0,5042.0,,,,,578.420121135382,,Low
SUN,Soviet Union,1990.0,5.0,,3000.0,,,,,,,,,
IDN,Indonesia,1990.0,5.8,,103.0,,,,,,,578.420121135382,,Low
USA,United States of America,1990.0,4.3,,120.0,,,,,,,23888.6000088133,,High
ZAF,South Africa,1990.0,4.0,10.0,6.0,,,,,,,3093.48920352334,,Lower-Middle
MMR,Myanmar,1991.0,7.2,,160.0,,,,,,,51.2408970610106,0.828,Low
AFG,Afghanistan,1991.0,6.4,130.0,7000.0,,,,,,,,7.972,
PAK,Pakistan,1991.0,6.4,300.0,204794.0,10000.0,23033.0,,,,,380.019843346229,0.596,Low
SUN,Soviet Union,1991.0,6.8,3.0,,,,,,,,,,
CHN,China,1991.0,6.5,,42808.0,,,,,,,334.130288119078,2.37,Low
SUN,Soviet Union,1991.0,6.8,,,,,,,,,,,
PER,Peru,1991.0,6.9,53.0,45750.0,,,,,,,1527.38879472866,4.926,Lower-Middle
CHN,China,1991.0,5.8,1.0,240542.0,,,,,,,334.130288119078,2.37,Low
CRI,Costa Rica,1991.0,6.3,47.0,10419.0,100000.0,230329.0,,,,,2253.38191508071,5.37,Lower-Middle
PAN,Panama,1991.0,7.2,30.0,18060.0,,,,,,,2820.54547665418,6.443,Lower-Middle
SUN,Soviet Union,1991.0,6.9,270.0,251500.0,1700000.0,3915593.0,,,,,,,
GEO,Georgia,1991.0,6.3,8.0,3740.0,,,,,,,1307.82342713006,2.7,Lower-Middle
IDN,Indonesia,1991.0,6.9,,1000.0,,,,,,,624.387495384411,2.617,Low
